cnpj_base,cnpj_ordem,cnpj_dv,matriz_filial,nome_fantasia,situacao_cadastral,data_situacao_cadastral,motivo_situacao_cadastral,nome_cidade_exterior,pais,data_inicio_atividade,cnae_principal,cnaes_secundarios,tipo_logradouro,logradouro,numero,complemento,bairro,cep,uf,codigo_municipio,ddd1,telefone1,ddd2,telefone2,ddd_fax,fax,email1,email2,email3
65682867,0861,14,1,MERCADINHO CENTRAL,08,20150913,,,,20070226,8204212,"5981505,5523669,8404852,5472471",RUA,BRASIL,6950,SALA 101,VILA NOVA,69140-958,RR,1400100,95,72266191,,,,,contato@mercadinhoceboavis.com.br,contato@mercadinhoceboavis.com.br,
42860080,8667,58,2,BRASIL CENTRAL,08,20050809,,,,19970710,4275709,"6147581,9242680,2954354",AVENIDA,DOS ANDRADAS,3557,LOJA 2,INDUSTRIAL,70264-861,DF,5300108,61,45588849,,,,,contato@brasilcentrabrasíl.com.br,,
48900483,8793,59,2,DISTRIBUIDORA LTDA,02,20070225,MUDANCA ENDERECO,,,20090412,3745683,"5997895,5056518,3669995,7397986",RODOVIA,BRASIL,3153,GALPAO,JARDIM AMÉRICA,36317-315,MG,3136702,32,40619433,32,40418513,,,contato@distribuidorjuizde.com.br,,
87796277,3844,53,2,SERVTEC LTDA,02,20150716,REORGANIZACAO SOCIETARIA,,,19900611,3658505,"4769315,2046797",RUA,DOS ANDRADAS,7630,LOJA 2,BOA VISTA,64687-414,PI,2211001,86,35007873,,,,,contato@servtecltdateresi.com.br,contato@servtecltda2teresi.com.br,
55848857,4860,59,1,ALFA DO BAIRRO,02,20190926,REORGANIZACAO SOCIETARIA,,,20040612,7080526,2425472,AVENIDA,FLORES,8007,GALPAO,INDUSTRIAL,69870-772,RR,1400100,95,23799684,,,,,contato@alfadobairroboavis.com.br,,
83139152,0392,34,1,GLOBAL MAX,08,20091001,MUDANCA ENDERECO,,,20180901,4853339,"8130144,1996107,5545583",TRAVESSA,BRASIL,2455,SALA 101,SÃO JOSÉ,69742-752,RR,1400100,95,65146892,,,,,contato@globalmaxboavis.com.br,,
14881728,8111,77,2,GAMA EIRELI,08,20021025,MUDANCA ENDERECO,,,20100322,7914550,"7906726,6888794,8558158",TRAVESSA,GETULIO VARGAS,5978,SALA 101,BOA VISTA,88926-033,SC,4205407,48,46904840,,,,,contato@gamaeirelifloria.com.br,contato@gamaeireli2floria.com.br,
05654237,7575,14,2,COMERCIAL POPULAR,08,20080823,MUDANCA ENDERECO,,,20060313,1043585,"3539448,1109556",RODOVIA,TIRADENTES,2694,ANDAR 3,CENTRO,25396-860,RJ,3301702,21,52425636,21,30597668,,,contato@comercialpopduqued.com.br,,
95057280,1307,61,1,GLOBAL EXPRESS,08,20251209,REORGANIZACAO SOCIETARIA,,,20100810,3548421,"8205547,2954109,9323735,5422880",RODOVIA,BRASIL,1999,FUNDOS,INDUSTRIAL,32578-300,MG,3118601,31,87766864,,,,,contato@globalexprescontag.com.br,,
16816569,1292,38,1,GLOBAL MAX,08,20100213,MUDANCA ENDERECO,,,20200822,8433296,"1225281,4782875,1813168",RUA,BRASIL,855,LOJA 2,INDUSTRIAL,69400-214,RR,1400100,95,54578554,95,92802636,,,contato@globalmaxboavis.com.br,,
88917675,5792,69,1,COMERCIAL MAX,02,20090811,REORGANIZACAO SOCIETARIA,,,19900722,8103230,"7659908,3558231",ESTRADA,FLORES,2932,ANDAR 3,SANTO ANTÔNIO,90155-085,RS,4314902,51,75355931,,,,,contato@comercialmaxportoa.com.br,contato@comercialmaxportoa.com.br,
35703247,9987,19,2,GLOBAL EIRELI,08,20171203,REGULARIZACAO,,,20160306,2607618,"1071295,5336787,3755423",ALAMEDA,FLORES,6695,,VILA NOVA,95170-881,RS,4305108,54,48118098,,,,,contato@globaleirelicaxias.com.br,,
79214742,5535,93,1,MERCADINHO LTDA,02,20240219,,,,20150319,5341747,"9506404,2241082,1686976,3472189",RUA,SETEMBRO,7159,,VILA NOVA,89882-223,SC,4209102,47,53691262,47,78837287,,,contato@mercadinholtjoinvi.com.br,,contato@mercadinholtjoinvi.com.br
51910807,6198,32,1,GAMA MAX,08,20150302,MUDANCA ENDERECO,,,20160521,5378727,"6106799,6946594,5327576,5962140",AVENIDA,BRASIL,2962,,SANTA LUZIA,96115-283,RS,4314407,53,59912648,,,,,contato@gamamaxpelota.com.br,,
